setup,hidden,learning_rate,batch_size,train_percentage,epoch,nlt_tp,nlt_fp,nlt_tn,nlt_fn,eval_accuracy,eval_accuracy_2,precision,recall,f1-score
BCEwithLL,16,0.001,32,100%,9,494,220,694,963,0.9500481584,95,0.6918767507,0.3390528483,0.4550898204
BCEwithLL,64,0.001,16,100%,0,669,319,595,788,0.9500481584,,0.6771255061,0.459162663,0.5472392638
BCEwithLL,32,0.0001,8,100%,6,666,312,602,791,0.9500481584,,0.6809815951,0.4571036376,0.5470225873
BCEwithLL,64,0.0001,32,100%,7,635,306,608,822,0.9500481584,,0.6748140276,0.4358270419,0.5296080067
NLLoss,16,0.001,8,100%,4,508,226,688,949,0.9500481584,,0.6920980926,0.3486616335,0.4637151985
BCEwithLL,64,1.00E-05,2,100%,7,660,313,601,797,0.9500481584,,0.6783144913,0.4529855868,0.5432098765
BCEwithLL,128,1.00E-05,4,100%,5,645,306,608,812,0.9500481584,,0.6782334385,0.4426904598,0.5357142857
NLLoss,128,0.0001,8,100%,4,589,275,639,868,0.9500481584,,0.681712963,0.4042553191,0.5075398535
NLLoss,64,1.00E-05,1,100%,6,653,316,598,804,0.9500481584,,0.6738906089,0.4481811942,0.5383347073
BCEwithLL,256,0.0001,8,100%,3,663,317,597,794,0.9500481584,,0.6765306122,0.4550446122,0.5441116126
BCEwithLL,256,0.0001,8,100%,7,611,290,624,846,0.9500481584,,0.6781354051,0.4193548387,0.518235793
NLLoss,512,1.00E-05,4,100%,3,635,301,613,822,0.9500481584,,0.6784188034,0.4358270419,0.5307145842
NLLoss,512,1.00E-05,4,100%,7,641,304,610,816,0.9500481584,,0.6783068783,0.4399450927,0.5337218984
BCEwithLL,8,0.001,2,100%,3,533,235,679,924,0.9500481584,,0.6940104167,0.3658201784,0.4791011236
NLLoss,8,0.001,8,100%,6,462,198,716,995,0.9500481584,,0.7,0.3170899108,0.4364666982
NLLoss,8,0.0001,8,100%,4,632,293,621,825,0.9500481584,,0.6832432432,0.4337680165,0.5306465155
BCEwithLL,64,0.001,2,100%,1,608,272,642,849,0.950031552,,0.6909090909,0.4172958133,0.5203252033
BCEwithLL,32,0.0001,4,100%,4,639,300,614,818,0.950031552,,0.6805111821,0.4385724091,0.5333889816
BCEwithLL,16,0.0001,2,100%,7,578,266,648,879,0.950031552,,0.6848341232,0.3967055594,0.5023902651
NLLoss,16,0.0001,32,100%,6,660,317,597,797,0.950031552,,0.6755373593,0.4529855868,0.5423171734
BCEwithLL,32,0.0001,2,100%,2,643,296,618,814,0.950031552,,0.684771033,0.4413177763,0.5367278798
NLLoss,16,0.0001,4,100%,1,633,307,607,824,0.950031552,,0.6734042553,0.4344543583,0.5281602003
BCEwithLL,128,0.0001,2,100%,8,565,260,654,892,0.950031552,,0.6848484848,0.387783116,0.495179667
BCEwithLL,128,1.00E-05,2,100%,7,639,302,612,818,0.950031552,,0.6790648247,0.4385724091,0.5329441201
NLLoss,64,1.00E-05,2,100%,3,670,313,601,787,0.950031552,,0.6815869786,0.4598490048,0.5491803279
NLLoss,128,1.00E-05,4,100%,7,644,309,605,813,0.950031552,,0.6757607555,0.4420041181,0.534439834
NLLoss,64,1.00E-05,1,100%,3,662,314,600,795,0.950031552,,0.6782786885,0.4543582704,0.5441841348
NLLoss,256,1.00E-05,16,100%,6,645,306,608,812,0.950031552,,0.6782334385,0.4426904598,0.5357142857
BCEwithLL,512,1.00E-05,32,100%,8,666,308,606,791,0.950031552,,0.6837782341,0.4571036376,0.5479226656
NLLoss,512,0.0001,32,100%,7,578,273,641,879,0.950031552,,0.6792009401,0.3967055594,0.5008665511
NLLoss,8,0.001,4,100%,2,469,200,714,988,0.950031552,,0.7010463378,0.3218943034,0.4412041392
BCEwithLL,8,0.0001,1,100%,5,628,297,617,829,0.950031552,,0.6789189189,0.4310226493,0.5272879933
BCEwithLL,16,0.001,32,100%,6,516,228,686,941,0.9500149457,,0.6935483871,0.3541523679,0.4688777828
BCEwithLL,16,0.0001,32,100%,6,656,315,599,801,0.9500149457,,0.675592173,0.4502402196,0.5403624382
BCEwithLL,128,0.0001,8,100%,4,646,310,604,811,0.9500149457,,0.6757322176,0.4433768016,0.5354330709
NLLoss,64,0.0001,4,100%,3,569,266,648,888,0.9500149457,,0.6814371257,0.3905284832,0.4965095986
NLLoss,64,0.0001,16,100%,4,650,303,611,807,0.9500149457,,0.6820566632,0.4461221688,0.5394190871
BCEwithLL,128,1.00E-05,8,100%,6,671,311,603,786,0.9500149457,,0.683299389,0.4605353466,0.5502255023
NLLoss,16,0.0001,1,100%,1,680,321,593,777,0.9500149457,,0.6793206793,0.4667124228,0.5532953621
NLLoss,64,1.00E-05,2,100%,7,653,315,599,804,0.9500149457,,0.6745867769,0.4481811942,0.538556701
BCEwithLL,8,0.001,4,100%,5,475,207,707,982,0.9500149457,,0.6964809384,0.3260123542,0.4441327723
BCEwithLL,8,0.001,1,100%,1,540,253,661,917,0.9500149457,,0.6809583859,0.370624571,0.48
NLLoss,8,0.001,4,100%,1,514,236,678,943,0.9500149457,,0.6853333333,0.3527796843,0.4657906661
BCEwithLL,16,0.001,4,100%,1,549,256,658,908,0.9499983394,,0.6819875776,0.3768016472,0.4854111406
BCEwithLL,32,0.0001,32,100%,3,663,313,601,794,0.9499983394,,0.6793032787,0.4550446122,0.5450061652
BCEwithLL,16,0.001,2,100%,8,479,213,701,978,0.9499983394,,0.6921965318,0.3287577213,0.4457887389
NLLoss,64,0.001,32,100%,5,542,240,674,915,0.9499983394,,0.6930946292,0.3719972546,0.4841447075
BCEwithLL,32,0.0001,4,100%,6,612,283,631,845,0.9499983394,,0.6837988827,0.4200411805,0.5204081633
BCEwithLL,32,0.0001,2,100%,8,553,260,654,904,0.9499983394,,0.680196802,0.3795470144,0.4872246696
NLLoss,16,0.0001,16,100%,6,611,285,629,846,0.9499983394,,0.6819196429,0.4193548387,0.5193370166
NLLoss,64,0.0001,32,100%,6,595,282,632,862,0.9499983394,,0.6784492588,0.4083733699,0.5098543273
NLLoss,32,0.0001,32,100%,5,613,289,625,844,0.9499983394,,0.6796008869,0.4207275223,0.5197117423
BCEwithLL,128,0.0001,2,100%,9,556,249,665,901,0.9499983394,95,0.6906832298,0.3816060398,0.4916003537
NLLoss,128,0.0001,16,100%,1,659,316,598,798,0.9499983394,,0.6758974359,0.452299245,0.5419407895
NLLoss,64,0.0001,2,100%,4,579,268,646,878,0.9499983394,,0.6835891381,0.3973919012,0.5026041667
BCEwithLL,256,0.0001,4,100%,7,597,280,634,860,0.9499983394,,0.6807297605,0.4097460535,0.5115681234
NLLoss,128,1.00E-05,2,100%,9,651,311,603,806,0.9499983394,95,0.6767151767,0.4468085106,0.5382389417
BCEwithLL,256,1.00E-05,8,100%,6,650,307,607,807,0.9499983394,,0.6792058516,0.4461221688,0.5385252693
BCEwithLL,256,1.00E-05,8,100%,9,639,302,612,818,0.9499983394,95,0.6790648247,0.4385724091,0.5329441201
BCEwithLL,256,0.0001,1,100%,8,593,281,633,864,0.9499983394,,0.6784897025,0.4070006863,0.5087945088
NLLoss,512,1.00E-05,1,100%,4,651,313,601,806,0.9499983394,,0.6753112033,0.4468085106,0.5377942999
NLLoss,8,0.01,32,100%,8,477,206,708,980,0.9499983394,,0.6983894583,0.3273850377,0.4457943925
NLLoss,8,0.0001,1,100%,2,671,319,595,786,0.9499983394,,0.6777777778,0.4605353466,0.5484266449
BCEwithLL,32,0.001,2,100%,6,503,222,692,954,0.949981733,,0.6937931034,0.3452299245,0.4610449129
BCEwithLL,32,0.0001,8,100%,8,617,287,627,840,0.949981733,,0.6825221239,0.4234728895,0.5226598899
BCEwithLL,64,0.001,2,100%,2,522,232,682,935,0.949981733,,0.6923076923,0.3582704187,0.4721845319
NLLoss,32,0.001,32,100%,4,499,221,693,958,0.949981733,,0.6930555556,0.3424845573,0.4584290308
BCEwithLL,32,0.001,1,100%,9,508,225,689,949,0.949981733,95,0.693042292,0.3486616335,0.4639269406
BCEwithLL,128,0.0001,2,100%,3,657,311,603,800,0.949981733,,0.6787190083,0.4509265614,0.5418556701
NLLoss,128,0.0001,8,100%,2,633,294,620,824,0.949981733,,0.6828478964,0.4344543583,0.5310402685
NLLoss,128,1.00E-05,16,100%,9,645,307,607,812,0.949981733,95,0.6775210084,0.4426904598,0.5354919054
NLLoss,256,1.00E-05,4,100%,7,640,305,609,817,0.949981733,,0.6772486772,0.4392587509,0.532889259
NLLoss,256,1.00E-05,4,100%,8,654,319,595,803,0.949981733,,0.6721479959,0.448867536,0.5382716049
NLLoss,256,0.0001,1,100%,5,573,262,652,884,0.949981733,,0.6862275449,0.3932738504,0.5
NLLoss,256,1.00E-05,1,100%,7,673,319,595,784,0.949981733,,0.6784274194,0.4619080302,0.5496120866
BCEwithLL,512,1.00E-05,8,100%,4,648,309,605,809,0.949981733,,0.6771159875,0.4447494852,0.5368682684
NLLoss,8,0.0001,2,100%,4,620,286,628,837,0.949981733,,0.6843267108,0.4255319149,0.5247566653
NLLoss,8,0.0001,2,100%,8,567,261,653,890,0.949981733,,0.6847826087,0.3891557996,0.4962800875
NLLoss,8,0.001,32,100%,4,533,234,680,924,0.949981733,,0.6949152542,0.3658201784,0.4793165468
BCEwithLL,64,0.001,32,100%,3,581,269,645,876,0.9499651267,,0.6835294118,0.3987645848,0.5036844387
BCEwithLL,32,0.0001,8,100%,5,659,311,603,798,0.9499651267,,0.6793814433,0.452299245,0.5430572724
NLLoss,16,0.001,16,100%,0,576,262,652,881,0.9499651267,,0.6873508353,0.3953328758,0.5019607843
NLLoss,32,0.001,8,100%,2,505,229,685,952,0.9499651267,,0.6880108992,0.3466026081,0.460976723
BCEwithLL,128,0.0001,32,100%,5,650,315,599,807,0.9499651267,,0.6735751295,0.4461221688,0.5367464905
NLLoss,32,0.0001,4,100%,6,527,249,665,930,0.9499651267,,0.6791237113,0.3617021277,0.4720107479
BCEwithLL,32,1.00E-05,1,100%,6,655,309,605,802,0.9499651267,,0.6794605809,0.4495538778,0.5410987195
NLLoss,128,0.0001,4,100%,7,565,259,655,892,0.9499651267,,0.6856796117,0.387783116,0.4953967558
BCEwithLL,128,0.0001,1,100%,2,707,334,580,750,0.9499651267,,0.679154659,0.4852436513,0.5660528423
NLLoss,256,0.0001,16,100%,9,586,271,643,871,0.9499651267,95,0.6837806301,0.4021962938,0.5064822818
NLLoss,256,0.0001,32,100%,9,574,272,642,883,0.9499651267,95,0.6784869976,0.3939601922,0.4984802432
NLLoss,256,0.0001,2,100%,9,543,247,667,914,0.9499651267,95,0.6873417722,0.3726835964,0.4833110814
BCEwithLL,512,1.00E-05,4,100%,3,636,302,612,821,0.9499651267,,0.6780383795,0.4365133837,0.5311064718
BCEwithLL,512,0.0001,1,100%,7,584,277,637,873,0.9499651267,,0.6782810685,0.4008236102,0.5038826575
NLLoss,512,0.0001,1,100%,6,552,263,651,905,0.9499651267,,0.6773006135,0.3788606726,0.485915493
NLLoss,8,1.00E-05,1,100%,9,697,326,588,760,0.9499651267,95,0.6813294233,0.4783802334,0.5620967742
BCEwithLL,32,0.001,32,100%,8,512,230,684,945,0.9499485204,,0.6900269542,0.3514070007,0.4656662119
BCEwithLL,128,0.0001,8,100%,1,633,303,611,824,0.9499485204,,0.6762820513,0.4344543583,0.5290430422
NLLoss,64,0.001,2,100%,5,472,208,706,985,0.9499485204,,0.6941176471,0.3239533288,0.4417407581
BCEwithLL,64,1.00E-05,4,100%,9,659,310,604,798,0.9499485204,94.99,0.6800825593,0.452299245,0.5432811212
BCEwithLL,32,1.00E-05,1,100%,7,648,311,603,809,0.9499485204,,0.6757038582,0.4447494852,0.5364238411
NLLoss,128,0.0001,4,100%,0,627,298,616,830,0.9499485204,,0.6778378378,0.4303363075,0.5264483627
BCEwithLL,64,1.00E-05,1,100%,7,645,307,607,812,0.9499485204,,0.6775210084,0.4426904598,0.5354919054
BCEwithLL,256,0.0001,32,100%,3,639,301,613,818,0.9499485204,,0.679787234,0.4385724091,0.5331664581
NLLoss,64,1.00E-05,2,100%,4,661,317,597,796,0.9499485204,,0.6758691207,0.4536719286,0.5429158111
BCEwithLL,256,0.0001,2,100%,3,648,305,609,809,0.9499485204,,0.6799580273,0.4447494852,0.5377593361
NLLoss,256,0.0001,4,100%,9,550,249,665,907,0.9499485204,94.99,0.6883604506,0.377487989,0.4875886525
NLLoss,256,1.00E-05,4,100%,4,644,306,608,813,0.9499485204,,0.6778947368,0.4420041181,0.535105941
NLLoss,256,1.00E-05,2,100%,7,653,314,600,804,0.9499485204,,0.6752843847,0.4481811942,0.5387788779
NLLoss,256,1.00E-05,1,100%,4,644,306,608,813,0.9499485204,,0.6778947368,0.4420041181,0.535105941
BCEwithLL,512,0.0001,16,100%,8,639,297,617,818,0.9499485204,,0.6826923077,0.4385724091,0.5340576682
NLLoss,512,1.00E-05,32,100%,6,649,312,602,808,0.9499485204,,0.6753381894,0.445435827,0.5368072787
BCEwithLL,512,1.00E-05,2,100%,9,642,313,601,815,0.9499485204,94.99,0.6722513089,0.4406314345,0.5323383085
BCEwithLL,8,0.001,16,100%,9,486,216,698,971,0.9499485204,94.99,0.6923076923,0.3335621139,0.4502084298
BCEwithLL,8,0.0001,16,100%,3,711,326,588,746,0.9499485204,,0.6856316297,0.4879890185,0.5701684042
NLLoss,8,0.001,4,100%,9,488,209,705,969,0.9499485204,94.99,0.700143472,0.3349347975,0.4531104921
NLLoss,8,0.0001,8,100%,7,582,266,648,875,0.9499485204,,0.6863207547,0.3994509266,0.504989154
BCEwithLL,32,0.001,4,100%,7,484,216,698,973,0.949931914,,0.6914285714,0.3321894303,0.4487714418
BCEwithLL,16,0.0001,8,100%,4,653,312,602,804,0.949931914,,0.6766839378,0.4481811942,0.539223782
BCEwithLL,16,0.0001,16,100%,7,646,314,600,811,0.949931914,,0.6729166667,0.4433768016,0.534546959
BCEwithLL,32,0.0001,8,100%,9,610,280,634,847,0.949931914,94.99,0.6853932584,0.4186684969,0.5198125266
BCEwithLL,16,0.001,1,100%,3,494,221,693,963,0.949931914,,0.6909090909,0.3390528483,0.4548802947
BCEwithLL,128,1.00E-05,4,100%,8,639,303,611,818,0.949931914,,0.678343949,0.4385724091,0.5327219675
NLLoss,32,0.0001,2,100%,7,548,250,664,909,0.949931914,,0.686716792,0.3761153054,0.4860310421
NLLoss,128,0.0001,32,100%,5,618,293,621,839,0.949931914,,0.6783754116,0.4241592313,0.5219594595
NLLoss,64,0.0001,1,100%,1,612,287,627,845,0.949931914,,0.680756396,0.4200411805,0.519524618
NLLoss,256,1.00E-05,8,100%,7,653,308,606,804,0.949931914,,0.6795005203,0.4481811942,0.5401157982
BCEwithLL,8,0.0001,8,100%,8,629,297,617,828,0.949931914,,0.6792656587,0.4317089911,0.5279060008
BCEwithLL,16,0.001,8,100%,2,534,255,659,923,0.9499153077,,0.6768060837,0.3665065202,0.4755120214
BCEwithLL,16,0.0001,32,100%,8,648,312,602,809,0.9499153077,,0.675,0.4447494852,0.5362019032
NLLoss,16,0.001,4,100%,1,543,237,677,914,0.9499153077,,0.6961538462,0.3726835964,0.4854716138
NLLoss,16,0.0001,16,100%,3,642,311,603,815,0.9499153077,,0.6736621196,0.4406314345,0.532780083
BCEwithLL,32,1.00E-05,1,100%,8,648,311,603,809,0.9499153077,,0.6757038582,0.4447494852,0.5364238411
NLLoss,32,1.00E-05,1,100%,7,638,313,601,819,0.9499153077,,0.6708727655,0.4378860673,0.5299003322
NLLoss,128,0.0001,1,100%,2,633,292,622,824,0.9499153077,,0.6843243243,0.4344543583,0.5314861461
NLLoss,256,1.00E-05,8,100%,3,670,310,604,787,0.9499153077,,0.6836734694,0.4598490048,0.5498563808
NLLoss,256,0.0001,1,100%,7,542,252,662,915,0.9499153077,,0.6826196474,0.3719972546,0.4815637494
BCEwithLL,512,1.00E-05,8,100%,8,638,302,612,819,0.9499153077,,0.6787234043,0.4378860673,0.5323320818
BCEwithLL,8,0.001,32,100%,1,664,314,600,793,0.9499153077,,0.6789366053,0.455730954,0.5453798768
NLLoss,8,0.0001,16,100%,5,643,312,602,814,0.9499153077,,0.6732984293,0.4413177763,0.5331674959
BCEwithLL,32,0.0001,32,100%,9,646,304,610,811,0.9498987014,94.99,0.68,0.4433768016,0.5367677607
BCEwithLL,32,0.0001,16,100%,4,650,313,601,807,0.9498987014,,0.6749740395,0.4461221688,0.5371900826
NLLoss,64,0.001,4,100%,6,460,203,711,997,0.9498987014,,0.6938159879,0.3157172272,0.4339622642
NLLoss,16,0.001,8,100%,1,527,237,677,930,0.9498987014,,0.6897905759,0.3617021277,0.4745610086
NLLoss,16,0.0001,16,100%,4,647,308,606,810,0.9498987014,,0.677486911,0.4440631434,0.5364842454
NLLoss,16,0.0001,4,100%,3,620,290,624,837,0.9498987014,,0.6813186813,0.4255319149,0.5238698775
NLLoss,32,0.0001,4,100%,4,587,269,645,870,0.9498987014,,0.6857476636,0.4028826356,0.5075659317
BCEwithLL,32,0.0001,1,100%,2,672,315,599,785,0.9498987014,,0.6808510638,0.4612216884,0.5499181669
BCEwithLL,32,0.0001,1,100%,6,585,274,640,872,0.9498987014,,0.681024447,0.401509952,0.5051813472
NLLoss,128,0.0001,16,100%,3,626,303,611,831,0.9498987014,,0.6738428418,0.4296499657,0.5247275775
NLLoss,32,0.001,1,100%,5,549,236,678,908,0.9498987014,,0.6993630573,0.3768016472,0.4897413024
BCEwithLL,128,1.00E-05,1,100%,5,637,303,611,820,0.9498987014,,0.6776595745,0.4371997255,0.5314977055
NLLoss,32,1.00E-05,1,100%,8,668,319,595,789,0.9498987014,,0.6767983789,0.4584763212,0.5466448445
NLLoss,64,1.00E-05,1,100%,4,668,325,589,789,0.9498987014,,0.6727089627,0.4584763212,0.5453061224
NLLoss,256,0.0001,4,100%,4,590,282,632,867,0.9498987014,,0.6766055046,0.4049416609,0.5066552168
NLLoss,256,1.00E-05,8,100%,8,640,305,609,817,0.9498987014,,0.6772486772,0.4392587509,0.532889259
NLLoss,512,0.0001,16,100%,6,651,304,610,806,0.9498987014,,0.6816753927,0.4468085106,0.539800995
NLLoss,8,0.0001,2,100%,1,693,335,579,764,0.9498987014,,0.6741245136,0.4756348662,0.5577464789
NLLoss,8,0.0001,1,100%,5,571,266,648,886,0.9498987014,,0.6821983274,0.3919011668,0.497820401
BCEwithLL,16,0.001,8,100%,3,519,233,681,938,0.9498820951,,0.6901595745,0.3562113933,0.4698958805
BCEwithLL,16,0.0001,32,100%,7,647,313,601,810,0.9498820951,,0.6739583333,0.4440631434,0.5353744311
BCEwithLL,128,0.0001,4,100%,8,603,282,632,854,0.9498820951,,0.6813559322,0.4138641043,0.5149444919
BCEwithLL,128,0.0001,4,100%,9,608,289,625,849,0.9498820951,94.99,0.6778149387,0.4172958133,0.5165675446
NLLoss,16,0.0001,1,100%,5,538,246,668,919,0.9498820951,,0.6862244898,0.3692518874,0.4801427934
NLLoss,128,1.00E-05,16,100%,8,654,309,605,803,0.9498820951,,0.6791277259,0.448867536,0.5404958678
BCEwithLL,64,1.00E-05,1,100%,9,652,317,597,805,0.9498820951,94.99,0.6728586171,0.4474948524,0.537510305
NLLoss,128,0.0001,2,100%,6,558,255,659,899,0.9498820951,,0.6863468635,0.3829787234,0.4916299559
BCEwithLL,256,1.00E-05,16,100%,8,654,311,603,803,0.9498820951,,0.6777202073,0.448867536,0.5400495458
BCEwithLL,256,0.0001,2,100%,4,633,297,617,824,0.9498820951,,0.6806451613,0.4344543583,0.530372853
NLLoss,512,0.0001,8,100%,2,602,287,627,855,0.9498820951,,0.6771653543,0.4131777625,0.5132139812
NLLoss,512,1.00E-05,1,100%,9,670,317,597,787,0.9498820951,94.99,0.6788247214,0.4598490048,0.5482815057
NLLoss,8,0.01,16,100%,0,534,221,693,923,0.9498820951,,0.7072847682,0.3665065202,0.4828209765
NLLoss,8,0.001,16,100%,0,615,290,624,842,0.9498820951,,0.679558011,0.4221002059,0.5207451312
NLLoss,8,0.001,16,100%,3,496,223,691,961,0.9498820951,,0.6898470097,0.3404255319,0.4558823529
NLLoss,8,0.0001,4,100%,1,660,322,592,797,0.9498820951,,0.6720977597,0.4529855868,0.5412054121
BCEwithLL,64,0.001,2,100%,4,487,207,707,970,0.9498654887,,0.7017291066,0.3342484557,0.4528126453
BCEwithLL,16,0.0001,1,100%,2,657,312,602,800,0.9498654887,,0.6780185759,0.4509265614,0.5416323166
BCEwithLL,128,0.0001,2,100%,6,586,270,644,871,0.9498654887,,0.6845794393,0.4021962938,0.5067012538
BCEwithLL,64,1.00E-05,2,100%,8,662,314,600,795,0.9498654887,,0.6782786885,0.4543582704,0.5441841348
BCEwithLL,128,1.00E-05,1,100%,9,646,312,602,811,0.9498654887,94.99,0.6743215031,0.4433768016,0.534989648
NLLoss,256,0.0001,4,100%,6,591,274,640,866,0.9498654887,,0.6832369942,0.4056280027,0.5090439276
NLLoss,256,0.0001,8,100%,3,632,287,627,825,0.9498654887,,0.6877040261,0.4337680165,0.531986532
NLLoss,512,0.0001,2,100%,4,578,269,645,879,0.9498654887,,0.6824085006,0.3967055594,0.5017361111
BCEwithLL,8,0.001,16,100%,6,523,237,677,934,0.9498654887,,0.6881578947,0.3589567605,0.4718087506
NLLoss,8,1.00E-05,1,100%,8,697,326,588,760,0.9498654887,,0.6813294233,0.4783802334,0.5620967742
BCEwithLL,16,0.0001,16,100%,9,644,310,604,813,0.9498488824,94.98,0.6750524109,0.4420041181,0.5342181667
BCEwithLL,128,0.0001,32,100%,4,631,302,612,826,0.9498488824,,0.6763129689,0.4330816747,0.5280334728
BCEwithLL,64,1.00E-05,4,100%,8,659,314,600,798,0.9498488824,,0.677286742,0.452299245,0.5423868313
BCEwithLL,128,1.00E-05,8,100%,7,654,310,604,803,0.9498488824,,0.6784232365,0.448867536,0.5402726146
NLLoss,16,0.001,1,100%,6,533,229,685,924,0.9498488824,,0.6994750656,0.3658201784,0.480396575
NLLoss,128,0.0001,32,100%,3,636,306,608,821,0.9498488824,,0.6751592357,0.4365133837,0.5302209254
NLLoss,128,0.0001,32,100%,6,609,282,632,848,0.9498488824,,0.6835016835,0.4179821551,0.5187393526
NLLoss,16,1.00E-05,2,100%,8,731,345,569,726,0.9498488824,,0.6793680297,0.5017158545,0.5771812081
BCEwithLL,256,0.0001,32,100%,7,616,288,626,841,0.9498488824,,0.6814159292,0.4227865477,0.5218127912
NLLoss,128,1.00E-05,2,100%,6,659,319,595,798,0.9498488824,,0.6738241309,0.452299245,0.5412731006
NLLoss,16,1.00E-05,1,100%,9,699,332,582,758,0.9498488824,94.98,0.6779825412,0.479752917,0.5618971061
BCEwithLL,256,1.00E-05,8,100%,7,644,307,607,813,0.9498488824,,0.6771819138,0.4420041181,0.5348837209
NLLoss,256,1.00E-05,2,100%,9,659,315,599,798,0.9498488824,94.98,0.6765913758,0.452299245,0.5421637186
NLLoss,512,1.00E-05,32,100%,8,644,308,606,813,0.9498488824,,0.6764705882,0.4420041181,0.5346616853
NLLoss,512,1.00E-05,2,100%,7,659,319,595,798,0.9498488824,,0.6738241309,0.452299245,0.5412731006
BCEwithLL,8,0.001,8,100%,0,632,303,611,825,0.9498488824,,0.6759358289,0.4337680165,0.5284280936
BCEwithLL,8,0.0001,2,100%,7,616,293,621,841,0.9498488824,,0.6776677668,0.4227865477,0.5207100592
BCEwithLL,16,0.0001,8,100%,5,619,299,615,838,0.9498322761,,0.674291939,0.4248455731,0.5212631579
BCEwithLL,16,0.0001,8,100%,7,593,288,626,864,0.9498322761,,0.6730987514,0.4070006863,0.5072711719
NLLoss,64,0.001,4,100%,4,473,212,702,984,0.9498322761,,0.6905109489,0.3246396706,0.441643324
NLLoss,16,0.001,2,100%,1,489,216,698,968,0.9498322761,,0.6936170213,0.3356211393,0.4523589269
BCEwithLL,128,1.00E-05,8,100%,8,656,309,605,801,0.9498322761,,0.6797927461,0.4502402196,0.5417010735
NLLoss,32,0.001,1,100%,3,514,225,689,943,0.9498322761,,0.6955345061,0.3527796843,0.4681238616
BCEwithLL,64,1.00E-05,1,100%,8,648,310,604,809,0.9498322761,,0.6764091858,0.4447494852,0.5366459627
NLLoss,128,1.00E-05,8,100%,5,641,308,606,816,0.9498322761,,0.6754478398,0.4399450927,0.5328345802
NLLoss,256,1.00E-05,4,100%,3,647,307,607,810,0.9498322761,,0.678197065,0.4440631434,0.5367067607
NLLoss,256,0.0001,2,100%,1,679,322,592,778,0.9498322761,,0.6783216783,0.466026081,0.5524816924
NLLoss,256,0.0001,1,100%,8,531,246,668,926,0.9498322761,,0.6833976834,0.3644474949,0.4753804834
BCEwithLL,8,0.001,32,100%,3,582,271,643,875,0.9498322761,,0.6822977726,0.3994509266,0.5038961039
BCEwithLL,8,0.0001,4,100%,3,669,320,594,788,0.9498322761,,0.6764408493,0.459162663,0.5470155356
BCEwithLL,8,0.001,1,100%,9,501,222,692,956,0.9498322761,94.98,0.6929460581,0.3438572409,0.4596330275
NLLoss,8,0.0001,8,100%,6,610,284,630,847,0.9498322761,,0.6823266219,0.4186684969,0.5189281157
BCEwithLL,32,0.001,32,100%,0,650,310,604,807,0.9498156697,,0.6770833333,0.4461221688,0.5378568473
BCEwithLL,32,0.001,32,100%,3,536,242,672,921,0.9498156697,,0.6889460154,0.3678792038,0.4796420582
BCEwithLL,32,0.0001,4,100%,8,597,279,635,860,0.9498156697,,0.6815068493,0.4097460535,0.5117873982
NLLoss,64,0.001,4,100%,2,491,221,693,966,0.9498156697,,0.6896067416,0.3369938229,0.4527431996
BCEwithLL,64,0.0001,4,100%,4,621,303,611,836,0.9498156697,,0.6720779221,0.4262182567,0.5216295674
NLLoss,16,0.001,2,100%,6,495,217,697,962,0.9498156697,,0.6952247191,0.3397391901,0.4564315353
NLLoss,64,0.0001,4,100%,4,588,276,638,869,0.9498156697,,0.6805555556,0.4035689774,0.506678156
BCEwithLL,128,0.0001,1,100%,6,584,272,642,873,0.9498156697,,0.6822429907,0.4008236102,0.504971898
NLLoss,128,0.0001,2,100%,0,664,320,594,793,0.9498156697,,0.674796748,0.455730954,0.5440393281
NLLoss,32,1.00E-05,1,100%,5,671,323,591,786,0.9498156697,,0.6750503018,0.4605353466,0.5475316197
BCEwithLL,512,1.00E-05,8,100%,7,637,302,612,820,0.9498156697,,0.6783812567,0.4371997255,0.5317195326
NLLoss,512,0.0001,4,100%,4,629,296,618,828,0.9498156697,,0.68,0.4317089911,0.5281276238
BCEwithLL,8,0.0001,16,100%,5,677,324,590,780,0.9498156697,,0.6763236763,0.4646533974,0.5508543531
NLLoss,8,0.0001,8,100%,8,590,274,640,867,0.9498156697,,0.6828703704,0.4049416609,0.5084015511
BCEwithLL,16,0.0001,32,100%,4,648,315,599,809,0.9497990634,,0.6728971963,0.4447494852,0.5355371901
BCEwithLL,64,0.0001,16,100%,1,646,305,609,811,0.9497990634,,0.6792849632,0.4433768016,0.5365448505
NLLoss,64,0.001,4,100%,1,563,246,668,894,0.9497990634,,0.69592089,0.3864104324,0.4969108561
BCEwithLL,128,0.0001,8,100%,3,659,311,603,798,0.9497990634,,0.6793814433,0.452299245,0.5430572724
NLLoss,32,0.001,2,100%,9,469,204,710,988,0.9497990634,94.98,0.6968796434,0.3218943034,0.4403755869
NLLoss,32,0.0001,32,100%,4,634,308,606,823,0.9497990634,,0.6730360934,0.4351407001,0.528553564
NLLoss,64,1.00E-05,8,100%,8,660,314,600,797,0.9497990634,,0.6776180698,0.4529855868,0.5429864253
NLLoss,16,1.00E-05,2,100%,9,706,343,571,751,0.9497990634,94.98,0.6730219256,0.4845573095,0.5634477255
NLLoss,64,0.0001,1,100%,0,657,310,604,800,0.9497990634,,0.6794208893,0.4509265614,0.5420792079
